Keyword,URL,Position07/04/2014,Trend06/27/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/travel/chicago/hotels,3,0,brand,Chicago Hotels - Deals in Chicago | Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/travel/las-vegas/hotels,2,0,brand,Las Vegas Hotels - Deals in Las Vegas | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,3,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,496,0.21,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,news,38880,6352,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,news,38880,2292,0.07,,,
groupon nyc,www.groupon.com/travel/new-york-city/hotels,3,0,brand,Hotels in New York City - Groupon,news,38880,1720,0.07,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/thrive-atlanta,2,0,brand,"Thrive - Atlanta, GA | Groupon",video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/red-brick-brewery-3,3,0,brand,Red Brick Brewing Company Atlanta Deal of the ... - Groupon,video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,20691,5508,0.2,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
groupon houston,www.groupon.com/biz/houston/segway-tours-of-houston,2,0,brand,"Segway Tours of Houston - Houston, TX | Groupon",video,20316,492,0.05,,,
groupon houston,www.groupon.com/biz/houston/cosmic-jump-houston-10535-jones-rd-suite,3,0,brand,"Cosmic Jump - Houston, TX | Groupon",video,20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/deals/official-paintball-games-of-texas-3,2,0,brand,Official Paintball Games of Texas Dallas Deal of ... - Groupon,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/biz/dallas/king-spa-and-sauna,3,0,brand,"King Spa and Sauna - Dallas, TX | Groupon",video,20112,384,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,12837,3416,0.1,,,
groupon denver,www.groupon.com/deals/denver-gourmet-tours-6,2,0,brand,Denver Gourmet Tours Deal of the Day | Groupon,video,12837,308,0.1,,,
groupon denver,www.groupon.com/biz/aurora-co/dynamic-paintball-denver,3,0,brand,"Dynamic Paintball Denver - Aurora, CO | Groupon",video,12837,244,0.1,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,21549,3048,0.07,,,
groupon los angeles,www.groupon.com/biz/los-angeles/guidos-restaurant-la,2,0,brand,"Guido's - West LA - Los Angeles, CA | Groupon",video,21549,1100,0.07,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,3,0,brand,Los Angeles Deal of the Day: Restaurants ... - Groupon,video,21549,824,0.07,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,"video,news",21218,3000,0.04,,,
groupon boston,www.groupon.com/deals/women-s-fitness-of-boston,2,0,brand,Women's Fitness of Boston Boston Deal of the ... - Groupon,"video,news",21218,1084,0.04,,,
groupon boston,www.groupon.com/local/cambridge-ma,3,0,brand,Cambridge MA - Groupon,"video,news",21218,812,0.04,,,
restaurants,www.groupon.com/local/restaurants,15,2,"cat: food & drink,top: restaurants",Restaurants - Deals &amp; Coupons | Groupon,"images,video,news",1689416,2916,1.29,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/local/scottsdale,2,0,brand,Scottsdale Deals - Best Deals &amp; Coupons in ... - Groupon,video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/biz/phoenix/honey-bears-bbq-2,3,0,brand,"Honey Bears BBQ - Phoenix, AZ | Groupon",video,18879,724,0.1,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals &amp; Coupons in Orlando | Groupon,"video,news",16995,2404,0.13,,,
groupon orlando,www.groupon.com/biz/orlando/seaworld-orlando-and-aquatica-seaworlds-waterpark,2,0,brand,SeaWorld Orlando and Busch Gardens Tampa ... - Groupon,"video,news",16995,868,0.13,,,
groupon orlando,www.groupon.com/biz/orlando/coco-key-hotel-and-water-resort,3,0,brand,Coco Key Hotel and Water Park Resort - Orlando ... - Groupon,"video,news",16995,648,0.13,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals &amp; Coupons in Seattle | Groupon,"video,news",12325,1744,0.11,,,
groupon seattle,www.groupon.com/seattle/area/tacoma,2,0,brand,"Seattle Deal of the Day: Restaurants, Beauty ... - Groupon","video,news",12325,628,0.11,,,
groupon seattle,www.groupon.com/deals/float-seattle,3,0,brand,Float Seattle Seattle Deal of the Day | Groupon Seattle,"video,news",12325,472,0.11,,,
groupon austin,www.groupon.com/local/austin,1,0,brand,Austin Deals - Best Deals &amp; Coupons in Austin | Groupon,,10725,1516,0.05,,,
groupon austin,www.groupon.com/deals/simplicity-las-vegas-14-austin,2,0,brand,Simplicity Laser Hair Removal Northwest Austin - Groupon,,10725,548,0.05,,,
groupon austin,www.groupon.com/biz/austin/segway-nation-austin,3,0,brand,"Segway Nation - Austin, TX | Groupon",,10725,408,0.05,,,
groupon san francisco,www.groupon.com/local/san-francisco,1,0,brand,San Francisco Deals - Best Deals &amp; Coupons in ... - Groupon,,9291,1312,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/area/san-francisco,2,0,brand,San Francisco Deal of the Day: Restaurants ... - Groupon,,9291,472,0.11,,,
groupon san francisco,www.groupon.com/local,3,0,brand,Groupon: Find Local Deals and Reviews for Restaurants ...,,9291,356,0.11,,,
things to do in san diego,www.groupon.com/local/san-diego/things-to-do,6,0,"cat: events & activities,city: things to do,san diego,top: things to do do",Things To Do In San Diego - Deals in San Diego | Groupon,"video,carousel,knowledge_graph",56091,1232,0.73,,,
things to do in atlanta,www.groupon.com/local/atlanta/things-to-do,4,0,"atlanta,cat: events & activities,city: things to do,top: things to do do",Things To Do In Atlanta - Deals in Atlanta | Groupon,"video,news,carousel,knowledge_graph",40666,1196,1.53,,,
things to do in boston,www.groupon.com/local/boston/things-to-do,5,1,"boston,cat: events & activities,city: things to do,top: things to do do",Things To Do In Boston - Deals in Boston | Groupon,"video,carousel,knowledge_graph",44327,1116,0.86,,,
things to do in orlando,www.groupon.com/local/orlando/things-to-do,4,0,"cat: events & activities,city: things to do,orlando,top: things to do do",Things To Do In Orlando - Deals in Orlando | Groupon,"carousel,knowledge_graph",37416,1100,0.44,,,
things to do in denver,www.groupon.com/local/denver/things-to-do,4,0,"cat: events & activities,city: things to do,denver,top: things to do do",Things To Do In Denver - Deals in Denver | Groupon,"carousel,knowledge_graph",33208,976,1.45,,,
groupon philadelphia,www.groupon.com/local/philadelphia,1,0,brand,Philadelphia Deals - Best Deals &amp; Coupons in ... - Groupon,video,6808,960,0.1,,,
groupon philadelphia,www.groupon.com/biz/philadelphia/philadelphia-trolley-works,2,0,brand,"Philadelphia Trolley Works - Philadelphia, PA | Groupon",video,6808,348,0.1,,,
groupon philadelphia,www.groupon.com/biz/philadelphia/moshulu,3,0,brand,"Moshulu - Philadelphia, PA | Groupon",video,6808,260,0.1,,,
things to do in san francisco,www.groupon.com/local/san-francisco/things-to-do,8,1,"cat: events & activities,city: things to do,san francisco,top: things to do do",Things To Do In San Francisco - Deals in San ... - Groupon,"video,carousel,knowledge_graph",62708,844,0.77,,,
groupon milwaukee,www.groupon.com/local/milwaukee,1,0,brand,Milwaukee Deals - Best Deals &amp; Coupons in ... - Groupon,video,5738,812,0.09,,,
groupon milwaukee,www.groupon.com/biz/milwaukee/rustico-pizzeria,2,0,brand,"Rustico - Milwaukee, WI | Groupon",video,5738,292,0.09,,,
groupon milwaukee,www.groupon.com/biz/milwaukee/comedy-cafe,4,-1,brand,"Comedy Cafe - Milwaukee, WI | Groupon",video,5738,168,0.09,,,
things to do in chicago,www.groupon.com/local/chicago/things-to-do,9,1,"cat: events & activities,chicago,city: things to do,top: things to do do",Things To Do In Chicago - Deals in Chicago | Groupon,"video,carousel,knowledge_graph",67958,704,0.58,,,
things to do in houston,www.groupon.com/local/houston/things-to-do,6,0,"cat: events & activities,city: things to do,houston,top: things to do do",Things To Do In Houston - Deals in Houston | Groupon,"video,carousel,knowledge_graph",30725,676,0.65,,,
groupon deals,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,4450,628,0.23,,,
groupon deals,www.groupon.com/getaways,2,,brand,All Chicago Getaways Deals | Groupon,video,4450,224,0.23,,,
groupon deals,www.groupon.com/occasion/last-minute-travel-deals,3,,brand,Last-Minute Travel Deals | Groupon,video,4450,168,0.23,,,
local restaurants,www.groupon.com/local/restaurants,6,2,"cat: food & drink,top: restaurants",Restaurants - Deals &amp; Coupons | Groupon,video,28375,624,0.14,,,
things to do in las vegas,www.groupon.com/local/las-vegas/things-to-do,7,1,"cat: events & activities,city: things to do,las vegas,top: things to do do",Things To Do In Las Vegas - Deals in Las Vegas | Groupon,"video,carousel,knowledge_graph",38783,620,0.9,,,
groupon new york,www.groupon.com/local/new-york,1,0,brand,New York Guide and Deals - Groupon,"video,news",4172,588,0.27,,,
groupon new york,www.groupon.com/new-york/getaways,2,0,brand,New York City - Groupon,"video,news",4172,212,0.27,,,
groupon new york,www.groupon.com/deals/great-new-york-tours-4,3,0,brand,Great New York Tours New York City Deal of the ... - Groupon,"video,news",4172,160,0.27,,,
