Keyword,URL,Position07/11/2014,Trend07/04/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,8,7,"cat: food & drink,top: restaurants",Restaurants - Deals &amp; Coupons | Groupon,"images,video,news",1689416,22828,1.29,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/travel/chicago/hotels,2,0,brand,Chicago Hotels - Deals in Chicago | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/travel/las-vegas/hotels,2,0,brand,Las Vegas Hotels - Deals in Las Vegas | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/hilton-lake-las-vegas-resort-spa,3,0,brand,Hilton Lake Las Vegas Resort &amp; Spa Massage - Groupon,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/zoo-atlanta,2,0,brand,"Zoo Atlanta - Atlanta, GA | Groupon",video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/loca-luna,3,0,brand,"Loca Luna - Atlanta, GA | Groupon",video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,,38880,1984,0.07,,,
groupon nyc,www.groupon.com/new-york/getaways,3,0,brand,New York City - Groupon,,38880,1488,0.07,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
groupon houston,www.groupon.com/biz/houston/sky-zone-houston,2,0,brand,"Sky Zone - Houston, TX | Groupon",video,20316,492,0.05,,,
groupon houston,www.groupon.com/deals/greater-houston-archery,3,0,brand,Greater Houston Archery Houston Deal of the ... - Groupon,video,20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/travel/dallas/hotels,2,0,brand,Dallas Hotels - Deals in Dallas | Groupon,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/biz/dallas/king-spa-and-sauna,3,0,brand,"King Spa and Sauna - Dallas, TX | Groupon",video,20112,384,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,12837,3416,0.1,,,
groupon denver,www.groupon.com/local/colorado,2,0,brand,Colorado Deals - Best Deals &amp; Coupons in ... - Groupon,video,12837,308,0.1,,,
groupon denver,www.groupon.com/biz/aurora-co/dynamic-paintball-denver,3,0,brand,"Dynamic Paintball Denver - Aurora, CO | Groupon",video,12837,244,0.1,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,21549,3048,0.07,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,2,0,brand,Los Angeles Deal of the Day: Restaurants ... - Groupon,video,21549,1100,0.07,,,
groupon los angeles,www.groupon.com/biz/los-angeles/nolas,3,0,brand,"Nola's - Los Angeles, CA | Groupon",video,21549,824,0.07,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,"video,news",21218,3000,0.04,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,Boston Getaways Deals - Groupon,"video,news",21218,1084,0.04,,,
groupon boston,www.groupon.com/deals/boating-in-boston-7,3,0,brand,Boating in Boston Boston Deal of the Day | Groupon Boston,"video,news",21218,812,0.04,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals &amp; Coupons in Orlando | Groupon,video,19970,2824,0.12,,,
groupon orlando,www.groupon.com/travel/orlando/hotels,2,0,brand,Orlando Hotels - Deals in Orlando | Groupon,video,19970,1020,0.12,,,
groupon orlando,www.groupon.com/biz/orlando/seaworld-orlando-and-aquatica-seaworlds-waterpark,3,0,brand,SeaWorld Orlando and Busch Gardens Tampa ... - Groupon,video,19970,764,0.12,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/biz/phoenix/arizona-science-center-phoenix,2,0,brand,"Arizona Science Center - Phoenix, AZ | Groupon",video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/local/scottsdale,3,0,brand,Scottsdale Deals - Best Deals &amp; Coupons in ... - Groupon,video,18879,724,0.1,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals &amp; Coupons in Seattle | Groupon,video,12325,1744,0.11,,,
groupon seattle,www.groupon.com/seattle/getaways,2,0,brand,Seattle - Groupon,video,12325,628,0.11,,,
groupon seattle,www.groupon.com/seattle/area/tacoma,3,0,brand,"Seattle Deal of the Day: Restaurants, Beauty ... - Groupon",video,12325,472,0.11,,,
groupon austin,www.groupon.com/local/austin,1,0,brand,Austin Deals - Best Deals &amp; Coupons in Austin | Groupon,video,10725,1516,0.05,,,
groupon austin,www.groupon.com/biz/austin/corazon-at-castle-hill,2,0,brand,"Castle Hill Cafe - Austin, TX | Groupon",video,10725,548,0.05,,,
