Keyword,URL,Position06/13/2014,Trend06/06/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,7,8,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",2074416,38436,1.3,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Lincoln Park - Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/simplicity-las-vegas-14-las-vegas,2,0,brand,Simplicity Laser Hair Removal Las Vegas Deal of ... - Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/amazing-las-vegas-comic-con,3,0,brand,Amazing Las Vegas Comic Con Las Vegas Deal ... - Groupon,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/deals/peachy-airport-parking-17,2,0,brand,Peachy Airport Parking Atlanta Deal of the Day | Groupon ...,,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/atlanta-taste-of-the-trucks,3,0,brand,Atlanta Taste of the Trucks Atlanta Deal of the ... - Groupon,,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
