Keyword,URL,Position06/06/2014,Trend05/30/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,3259166,868096,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,video,45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,video,45750,1104,0.18,,,
groupon chicago,www.groupon.com/reserve/chicago,3,0,brand,Groupon Reserve | Chicago,video,45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/laugh-factory-las-vegas-1,2,0,brand,Laugh Factory Las Vegas Deal of the Day | Groupon Las ...,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,3,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,496,0.21,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,6352,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,,38880,2292,0.07,,,
groupon nyc,www.groupon.com/reserve/new-york,3,0,brand,Groupon Reserve | New York City,,38880,1720,0.07,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/deals/peachy-airport-parking-17,2,0,brand,Peachy Airport Parking Atlanta Deal of the Day | Groupon ...,video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/atlanta-taste-of-the-trucks,3,0,brand,Atlanta Taste of the Trucks Atlanta Deal of the ... - Groupon,video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
groupon houston,www.groupon.com/deals/darque-tan-10,2,0,brand,Darque Tan Houston Deal of the Day | Groupon Houston,video,20316,492,0.05,,,
groupon houston,www.groupon.com/deals/houston-beer-fest-3,3,0,brand,Houston Beer Fest Houston Deal of the Day | Groupon ...,video,20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/deals/texas-archery-academy-6,2,0,brand,Texas Archery Academy Dallas Deal of the Day | Groupon ...,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/deals/advanced-lazer-hair-removal,3,0,brand,Clinical Advanced Lazer Hair Removal Dallas ... - Groupon,video,20112,384,0.09,,,
restaurants,www.groupon.com/local/restaurants,15,-8,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,images,2074416,3580,1.3,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,12837,3416,0.1,,,
groupon denver,www.groupon.com/local/colorado,2,0,brand,Colorado Guide and Deals - Groupon,video,12837,308,0.1,,,
groupon denver,www.groupon.com/deals/auto-glass-denver-pros,3,0,brand,Auto Glass Denver Pros Denver Deal of the Day | Groupon ...,video,12837,244,0.1,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,21549,3048,0.07,,,
groupon los angeles,www.groupon.com/deals/portofino-cucina-italiana,2,0,brand,Portofino Cucina Italiana Los Angeles Deal of the ... - Groupon,video,21549,1100,0.07,,,
groupon los angeles,www.groupon.com/deals/hugh-spa-2,3,0,brand,Hugh Spa Los Angeles Deal of the Day | Groupon Los ...,video,21549,824,0.07,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,20045,2836,0.09,,,
