Keyword,URL,Position04/04/2014,Trend03/28/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",news,3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,7,0,"cat: food & drink,top: restaurants",Restaurant Deals | Groupon,"images,news",3754416,69564,0.93,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Lincoln Park - Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","video,news",40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals in Las Vegas | Groupon,video,22325,5944,0.28,,,
groupon las vegas,www.groupon.com/deals/toby-keith-s-i-love-this-bar-grill-at-harrah-s-las-vegas,2,0,brand,Toby Keith's I Love This Bar & Grill at Harrah's Las Vegas ... - Groupon,video,22325,540,0.28,,,
groupon las vegas,www.groupon.com/deals/laugh-factory-las-vegas-1,3,0,brand,Laugh Factory Las Vegas Deal of the Day | Groupon Las Vegas,video,22325,428,0.28,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,"New York Deals - Best Deals in New York, U.S. | Groupon",,38880,1984,0.07,,,
groupon nyc,www.groupon.com/reserve/new-york,3,0,brand,Groupon Reserve | New York City,,38880,1488,0.07,,,
