Keyword,URL,Position05/30/2014,Trend05/23/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,7,,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",2074416,38436,1.3,,,
restaurants,www.groupon.com/local/restaurants,16,,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",2074416,3428,1.3,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/reserve/chicago,2,0,brand,Groupon Reserve | Chicago,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Lincoln Park - Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,2,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-atv-tours-2,3,0,brand,Las Vegas ATV Tours Deal of the Day | Groupon,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/reserve/atlanta,2,0,brand,Groupon Reserve | Atlanta,video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/atlanta-rocks-indoor-climbing-gym,3,0,brand,Atlanta Rocks! Atlanta Deal of the Day | Groupon Atlanta,video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,video,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,video,38880,1984,0.07,,,
groupon nyc,www.groupon.com/reserve/new-york,3,0,brand,Groupon Reserve | New York City,video,38880,1488,0.07,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
groupon houston,www.groupon.com/deals/sambuca-houston,2,0,brand,Half Off New American Fare at Sambuca Houston - Groupon,video,20316,492,0.05,,,
groupon houston,www.groupon.com/deals/aerial-yoga-houston,3,0,brand,Aerial Yoga Houston Houston Deal of the Day | Groupon ...,video,20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/deals/sambuca-restaurant,2,0,brand,Sambuca Uptown &amp; Sambuca 360 Dallas Deal of ... - Groupon,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/deals/glamour-shots-minneapolis-15-dallas,3,0,brand,Glamour Shots Dallas Deal of the Day | Groupon Dallas,video,20112,384,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,12837,3416,0.1,,,
