Keyword,URL,Position07/25/2014,Trend07/18/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,3259166,868096,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,video,45750,12184,0.18,,,
groupon chicago,www.groupon.com/travel/chicago/hotels,2,0,brand,Chicago Hotels - Deals in Chicago | Groupon,video,45750,1104,0.18,,,
groupon chicago,www.groupon.com/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,video,45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,40427,10768,0.05,,,
restaurants,www.groupon.com/local/restaurants,13,1,"cat: food & drink,top: restaurants",Restaurants - Deals &amp; Coupons | Groupon,"images,news",1689416,7304,1.29,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/travel/las-vegas/hotels,2,0,brand,Las Vegas Hotels - Deals in Las Vegas | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/the-high-roller-at-the-linq,3,0,brand,The High Roller at the LINQ Las Vegas Deal of ... - Groupon,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/atlanta-rocks,2,0,brand,"Atlanta Rocks Intown - Atlanta, GA | Groupon",video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/glamour-shots-minneapolis-15-atlanta,3,0,brand,Glamour Shots Atlanta Deal of the Day | Groupon Atlanta,video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Deals - Best Deals &amp; Coupons in New ... - Groupon,,38880,1984,0.07,,,
groupon nyc,www.groupon.com/travel/new-york-city/hotels,3,0,brand,New York City - Groupon,,38880,1488,0.07,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
groupon houston,www.groupon.com/deals/krav-maga-houston,2,0,brand,Krav Maga Houston Houston Deal of the Day | Groupon ...,video,20316,492,0.05,,,
groupon houston,www.groupon.com/deals/greater-houston-archery,3,0,brand,Greater Houston Archery Houston Deal of the ... - Groupon,video,20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/travel/dallas/hotels,2,0,brand,Dallas Hotels - Deals in Dallas | Groupon,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/biz/dallas/king-spa-and-sauna,3,0,brand,"King Spa and Sauna - Dallas, TX | Groupon",video,20112,384,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,12837,3416,0.1,,,
groupon denver,www.groupon.com/denver/getaways,2,0,brand,Denver - Groupon,video,12837,308,0.1,,,
groupon denver,www.groupon.com/local/colorado,3,0,brand,Colorado Deals - Best Deals &amp; Coupons in ... - Groupon,video,12837,244,0.1,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,21549,3048,0.07,,,
groupon los angeles,www.groupon.com/los-angeles/getaways,2,0,brand,Los Angeles - Groupon,video,21549,1100,0.07,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,3,0,brand,Los Angeles Deal of the Day: Restaurants ... - Groupon,video,21549,824,0.07,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,21218,3000,0.04,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,Boston Getaways Deals - Groupon,video,21218,1084,0.04,,,
groupon boston,www.groupon.com/biz/boston/amrheins,3,0,brand,"Amrheins - Boston, MA | Groupon",video,21218,812,0.04,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals &amp; Coupons in Orlando | Groupon,,19970,2824,0.12,,,
groupon orlando,www.groupon.com/travel/orlando/hotels,2,0,brand,Orlando Hotels - Deals in Orlando | Groupon,,19970,1020,0.12,,,
groupon orlando,www.groupon.com/biz/orlando/coco-key-hotel-and-water-resort,3,0,brand,Coco Key Hotel and Water Park Resort - Orlando ... - Groupon,,19970,764,0.12,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/local/scottsdale,2,0,brand,Scottsdale Deals - Best Deals &amp; Coupons in ... - Groupon,video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/travel/phoenix/hotels,3,0,brand,Phoenix Hotels - Deals in Phoenix | Groupon,video,18879,724,0.1,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals &amp; Coupons in Seattle | Groupon,video,12325,1744,0.11,,,
groupon seattle,www.groupon.com/seattle/area/tacoma,2,0,brand,"Seattle Deal of the Day: Restaurants, Beauty ... - Groupon",video,12325,628,0.11,,,
groupon seattle,www.groupon.com/deals/float-seattle,3,0,brand,Float Seattle Seattle Deal of the Day | Groupon Seattle,video,12325,472,0.11,,,
groupon austin,www.groupon.com/local/austin,1,0,brand,Austin Deals - Best Deals &amp; Coupons in Austin | Groupon,,10725,1516,0.05,,,
groupon austin,www.groupon.com/biz/austin/alamo-drafthouse-cinema-1,2,0,brand,"Alamo Cinema and Drafthouse - Austin, TX | Groupon",,10725,548,0.05,,,
groupon austin,www.groupon.com/biz/austin/austin-paintball,3,0,brand,"Austin Paintball - Dripping Springs, TX | Groupon",,10725,408,0.05,,,
things to do in orlando,www.groupon.com/local/orlando/things-to-do,3,1,"cat: events & activities,city: things to do,orlando,top: things to do do",Things To Do In Orlando - Deals in Orlando | Groupon,"video,carousel,knowledge_graph",37416,1432,0.44,,,
groupon san francisco,www.groupon.com/local/san-francisco,1,0,brand,San Francisco Deals - Best Deals &amp; Coupons in ... - Groupon,video,9291,1312,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/getaways,2,0,brand,San Francisco Getaways Deals - Groupon,video,9291,472,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/area/san-francisco,3,0,brand,San Francisco Deal of the Day: Restaurants ... - Groupon,video,9291,356,0.11,,,
things to do in boston,www.groupon.com/local/boston/things-to-do,5,0,"boston,cat: events & activities,city: things to do,top: things to do do",Things To Do In Boston - Deals in Boston | Groupon,"carousel,knowledge_graph",44327,1116,0.86,,,
things to do in san diego,www.groupon.com/local/san-diego/things-to-do,7,-1,"cat: events & activities,city: things to do,san diego,top: things to do do",Things To Do In San Diego - Deals in San Diego | Groupon,"carousel,knowledge_graph",56091,1036,0.73,,,
things to do in atlanta,www.groupon.com/local/atlanta/things-to-do,5,-1,"atlanta,cat: events & activities,city: things to do,top: things to do do",Things To Do In Atlanta - Deals in Atlanta | Groupon,"video,carousel,knowledge_graph",40666,1024,1.53,,,
things to do in denver,www.groupon.com/local/denver/things-to-do,4,0,"cat: events & activities,city: things to do,denver,top: things to do do",Things To Do In Denver - Deals in Denver | Groupon,"video,carousel,knowledge_graph",33208,976,1.45,,,
groupon philadelphia,www.groupon.com/local/philadelphia,1,0,brand,Philadelphia Deals - Best Deals &amp; Coupons in ... - Groupon,video,6808,960,0.1,,,
groupon philadelphia,www.groupon.com/biz/philadelphia/philadelphia-sightseeing-tours,2,0,brand,Philadelphia Sightseeing Tours &amp; Transportation ... - Groupon,video,6808,348,0.1,,,
groupon philadelphia,www.groupon.com/deals/the-gun-range-1,3,0,brand,The Gun Range Philadelphia Deal of the Day | Groupon ...,video,6808,260,0.1,,,
groupon milwaukee,www.groupon.com/local/milwaukee,1,0,brand,Milwaukee Deals - Best Deals &amp; Coupons in ... - Groupon,video,5738,812,0.09,,,
groupon milwaukee,www.groupon.com/biz/milwaukee/shakers-cigar-bar,2,0,brand,"Shakers - Milwaukee, WI | Groupon",video,5738,292,0.09,,,
groupon milwaukee,www.groupon.com/biz/milwaukee/tess,3,0,brand,"Tess - Milwaukee, WI | Groupon",video,5738,220,0.09,,,
things to do in chicago,www.groupon.com/local/chicago/things-to-do,9,-1,"cat: events & activities,chicago,city: things to do,top: things to do do",Things To Do In Chicago - Deals in Chicago | Groupon,"carousel,knowledge_graph",67958,704,0.58,,,
things to do in phoenix,www.groupon.com/local/phoenix/things-to-do,5,2,"cat: events & activities,city: things to do,phoenix,top: things to do do",Things To Do In Phoenix - Deals in Phoenix | Groupon,"video,carousel,knowledge_graph",26425,664,0.8,,,
groupon deals,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,4450,628,0.23,,,
things to do in austin,www.groupon.com/local/austin/things-to-do,6,2,"austin,cat: events & activities,city: things to do,top: things to do do",Things To Do In Austin - Deals in Austin | Groupon,"video,carousel,knowledge_graph",27188,596,0.59,,,
