Keyword,URL,Position03/28/2014,Trend03/21/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,7,1,"cat: food & drink,top: restaurants",Restaurant Deals | Groupon,images,3754416,60240,0.93,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",news,40427,10768,0.05,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals in Chicago | Groupon,video,37916,10096,0.12,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,video,37916,916,0.12,,,
groupon chicago,www.groupon.com/,3,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",video,37916,728,0.12,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals in Las Vegas | Groupon,video,22325,5944,0.28,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,2,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,22325,540,0.28,,,
groupon las vegas,www.groupon.com/deals/burger-brasserie,3,0,brand,Burger Brasserie Las Vegas Deal of the Day | Groupon Las Vegas,video,22325,428,0.28,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",,20691,5508,0.2,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals in Atlanta | Groupon,video,18177,4840,0.11,,,
groupon atlanta,www.groupon.com/deals/atlanta-rocks-indoor-climbing-gym,2,0,brand,Atlanta Rocks! Atlanta Deal of the Day | Groupon Atlanta,video,18177,440,0.11,,,
groupon atlanta,www.groupon.com/deals/peachy-airport-parking-17,3,0,brand,Peachy Airport Parking Atlanta Deal of the Day | Groupon Atlanta,video,18177,348,0.11,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals in Houston | Groupon,video,15269,4696,0.07,,,
groupon houston,www.groupon.com/deals/sambuca-houston,2,0,brand,Sambuca Houston Houston Deal of the Day | Groupon Houston,video,15269,424,0.07,,,
groupon houston,www.groupon.com/deals/krav-maga-houston,3,0,brand,Krav Maga Houston Houston Deal of the Day | Groupon Houston,video,15269,336,0.07,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,32966,4664,0.17,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,"New York Deals - Best Deals in New York, U.S. | Groupon",,32966,1684,0.17,,,
groupon nyc,www.groupon.com/deals/brick-nyc-new-york-8,3,0,brand,Brick NYC New York City - Groupon,,32966,1264,0.17,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals in Dallas | Groupon,video,16935,4508,0.12,,,
groupon dallas,www.groupon.com/deals/salsa-dallas-com,2,0,brand,SalsaDallas.com Dallas Deal of the Day | Groupon Dallas,video,16935,408,0.12,,,
groupon dallas,www.groupon.com/deals/sambuca-restaurant,3,0,brand,Sambuca Uptown & Sambuca 360 Dallas Deal of the Day | Groupon ...,video,16935,324,0.12,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/local/denver/restaurants,2,0,brand,Denver Restaurants - Deals in Denver | Groupon,video,10254,248,0.13,,,
groupon denver,www.groupon.com/local/denver/things-to-do,3,0,brand,Things To Do In Denver - Deals in Denver | Groupon,video,10254,196,0.13,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals in Los Angeles | Groupon,video,17419,2464,0.15,,,
groupon los angeles,www.groupon.com/reserve/los-angeles,2,0,brand,Groupon Reserve | Los Angeles,video,17419,888,0.15,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,3,0,brand,"Los Angeles Deal of the Day: Restaurants, Beauty, Health ... - Groupon",video,17419,668,0.15,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals in Boston | Groupon,video,16252,2300,0.08,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,Boston Getaways Deals - Groupon,video,16252,828,0.08,,,
groupon boston,www.groupon.com/deals/boston-common-frog-pond-1,3,0,brand,Boston Common Frog Pond Boston Deal of the Day | Groupon Boston,video,16252,620,0.08,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals in Phoenix | Groupon,video,15427,2180,0.08,,,
groupon phoenix,www.groupon.com/deals/a-better-tint-3,2,0,brand,A Better Tint Phoenix Deal of the Day | Groupon Phoenix,video,15427,788,0.08,,,
groupon phoenix,www.groupon.com/deals/honey-bears-bbq-144,3,0,brand,Honey Bear's BBQ Phoenix Deal of the Day | Groupon Phoenix,video,15427,588,0.08,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals in Orlando | Groupon,video,14716,2080,0.1,,,
groupon orlando,www.groupon.com/orlando/,2,0,brand,"Orlando Deal of the Day: Restaurants, Beauty, Health ... - Groupon",video,14716,752,0.1,,,
groupon orlando,www.groupon.com/deals/seaworld-orlando-and-aquatica-seaworld-s-waterpark,3,0,brand,SeaWorld Orlando Orlando Deal of the Day | Groupon Orlando,video,14716,564,0.1,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals in Seattle | Groupon,,12325,1744,0.11,,,
groupon seattle,www.groupon.com/seattle/area/seattle,2,0,brand,"Seattle Deal of the Day: Restaurants, Beauty, Health ... - Groupon",,12325,628,0.11,,,
groupon seattle,www.groupon.com/deals/road-dogs-seattle-brewery-tours-2,3,0,brand,Road Dogs Tours Seattle Deal of the Day | Groupon Seattle,,12325,472,0.11,,,
groupon san francisco,www.groupon.com/local/san-francisco,1,0,brand,San Francisco Deals - Best Deals in San Francisco | Groupon,,9291,1312,0.11,,,
groupon san francisco,www.groupon.com/local/san-francisco/things-to-do,2,0,brand,Things To Do In San Francisco - Deals in San Francisco | Groupon,,9291,472,0.11,,,
groupon san francisco,www.groupon.com/local/san-francisco/restaurants,3,0,brand,San Francisco Restaurants - Deals in San Francisco | Groupon,,9291,356,0.11,,,
things to do in denver,www.groupon.com/local/denver/things-to-do,3,0,"cat: events & activities,city: things to do,denver,top: things to do do",Things To Do In Denver - Deals in Denver | Groupon,"images,video,carousel,knowledge_graph",31475,1204,1.28,,,
groupon austin,www.groupon.com/local/austin,1,0,brand,Austin Deals - Best Deals in Austin | Groupon,video,8269,1168,0.1,,,
groupon austin,www.groupon.com/deals/alamo-drafthouse-cinema-4-austin,8,-6,brand,Alamo Drafthouse Cinema Austin Deal of the Day | Groupon Austin,video,8269,112,0.1,,,
groupon austin,www.groupon.com/deals/elements-laser-spa-mad-dog-tattoo-removal-1,9,-6,brand,Elements Laser Spa Austin Deal of the Day | Groupon Austin,video,8269,84,0.1,,,
things to do in atlanta,www.groupon.com/local/atlanta/things-to-do,5,1,"atlanta,cat: events & activities,city: things to do,top: things to do do",Things To Do In Atlanta - Deals in Atlanta | Groupon,"images,video,carousel,knowledge_graph",39783,1000,1.15,,,
groupon philadelphia,www.groupon.com/local/philadelphia,1,0,brand,Philadelphia Deals - Best Deals in Philadelphia | Groupon,,6808,960,0.1,,,
groupon philadelphia,www.groupon.com/deals/philadelphia-sightseeing-tours-8,2,0,brand,Philadelphia Sightseeing Tours Philadelphia Deal of the ... - Groupon,,6808,348,0.1,,,
groupon philadelphia,www.groupon.com/reserve/philadelphia,3,0,brand,Groupon Reserve | Philadelphia,,6808,260,0.1,,,
things to do in san francisco,www.groupon.com/local/san-francisco/things-to-do,7,0,"cat: events & activities,city: things to do,san francisco,top: things to do do",Things To Do In San Francisco - Deals in San Francisco | Groupon,"images,video,carousel,knowledge_graph",55297,884,0.47,,,
things to do in orlando,www.groupon.com/local/orlando/things-to-do,5,0,"cat: events & activities,city: things to do,orlando,top: things to do do",Things To Do In Orlando - Deals in Orlando | Groupon,"images,video,carousel,knowledge_graph",34816,876,0.61,,,
things to do in san diego,www.groupon.com/local/san-diego/things-to-do,8,-1,"cat: events & activities,city: things to do,san diego,top: things to do do",Things To Do In San Diego - Deals in San Diego | Groupon,"images,video,carousel,knowledge_graph",56091,756,0.73,,,
groupon milwaukee,www.groupon.com/local/milwaukee,1,0,brand,Milwaukee Deals - Best Deals in Milwaukee | Groupon,video,5150,728,0.05,,,
groupon milwaukee,www.groupon.com/biz/milwaukee/pfister-hotel,2,0,brand,"The Pfister Hotel - Milwaukee, WI | Groupon",video,5150,260,0.05,,,
groupon milwaukee,www.groupon.com/deals/wards-house-of-prime-3,3,,brand,Ward's House of Prime Milwaukee Deal of the Day | Groupon ...,video,5150,196,0.05,,,
things to do in chicago,www.groupon.com/local/chicago/things-to-do,10,0,"cat: events & activities,chicago,city: things to do,top: things to do do",Things To Do In Chicago - Deals in Chicago | Groupon,"images,video,carousel,knowledge_graph",68208,712,0.76,,,
things to do in boston,www.groupon.com/local/boston/things-to-do,7,0,"boston,cat: events & activities,city: things to do,top: things to do do",Things To Do In Boston - Deals in Boston | Groupon,"images,news,carousel,knowledge_graph",42983,688,0.96,,,
deals,www.groupon.com/,11,,,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","images,news,knowledge_graph",80000,628,0.91,,,
things to do in las vegas,www.groupon.com/local/las-vegas/things-to-do,7,1,"cat: events & activities,city: things to do,las vegas,top: things to do do",Things To Do In Las Vegas - Deals in Las Vegas | Groupon,"images,video,carousel,knowledge_graph",38033,608,0.87,,,
things to do in houston,www.groupon.com/local/houston/things-to-do,6,0,"cat: events & activities,city: things to do,houston,top: things to do do",Things To Do In Houston - Deals in Houston | Groupon,"images,carousel,knowledge_graph",27675,608,0.68,,,
groupon deals,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",video,4166,588,0.18,,,
things to do in san antonio,www.groupon.com/local/san-antonio/things-to-do,5,0,"cat: events & activities,city: things to do,san antonio,top: things to do do",Things To Do In San Antonio - Deals in San Antonio | Groupon,"images,video,carousel,knowledge_graph",23462,588,0.87,,,
things to do in philadelphia,www.groupon.com/local/philadelphia/things-to-do,6,0,"cat: events & activities,city: things to do,philadelphia,top: things to do do",Things To Do In Philadelphia - Deals in Philadelphia | Groupon,"images,video,carousel,knowledge_graph",26358,580,0.91,,,
groupon new york,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,3966,560,0.12,,,
groupon new york,www.groupon.com/local/new-york,2,0,brand,"New York Deals - Best Deals in New York, U.S. | Groupon",,3966,200,0.12,,,
groupon new york,www.groupon.com/deals/great-new-york-tours-4,3,0,brand,Great New York Tours New York City Deal of the Day | Groupon ...,,3966,152,0.12,,,
things to do in phoenix,www.groupon.com/local/phoenix/things-to-do,7,0,"cat: events & activities,city: things to do,phoenix,top: things to do do",Things To Do In Phoenix - Deals in Phoenix | Groupon,"images,video,carousel,knowledge_graph",24491,392,0.38,,,
things to do in austin,www.groupon.com/local/austin/things-to-do,8,0,"austin,cat: events & activities,city: things to do,top: things to do do",Things To Do In Austin - Deals in Austin | Groupon,"images,video,carousel,knowledge_graph",26175,352,1.29,,,
things to do in seattle,www.groupon.com/local/seattle/things-to-do,10,0,"cat: events & activities,city: things to do,seattle,top: things to do do",Things To Do In Seattle - Deals in Seattle | Groupon,"images,video,carousel,knowledge_graph",36933,332,0.68,,,
orlando attractions,www.groupon.com/local/orlando/things-to-do,6,2,"cat: events & activities,city: attractions,orlando",Things To Do In Orlando - Deals in Orlando | Groupon,"images,video,carousel,knowledge_graph",14516,316,0.95,,,
massage orlando,www.groupon.com/local/orlando/massage,1,0,"cat: beauty & spa,city: massage,orlando",Orlando Massage - Deals in Orlando | Groupon,maps,1850,260,1.45,,,
groupon colorado springs,www.groupon.com/local/colorado-springs,1,0,brand,Colorado Springs Deals - Best Deals in Colorado Springs | Groupon,video,1858,260,0.1,,,
groupon colorado springs,www.groupon.com/deals/da-vinci-teeth-whitening-system-colorado-springs-2,2,0,brand,DaVinci Teeth Whitening Colorado Springs Deal of the ... - Groupon,video,1858,92,0.1,,,
groupon colorado springs,www.groupon.com/deals/elite-vision-2,3,0,brand,Elite Vision Colorado Springs Deal of the Day | Groupon Colorado ...,video,1858,68,0.1,,,
things to do in los angeles,www.groupon.com/local/los-angeles/things-to-do,10,-1,"cat: events & activities,city: things to do,los angeles,top: things to do do",Things To Do In Los Angeles - Deals in Los Angeles | Groupon,"images,video,carousel,knowledge_graph",25911,232,0.89,,,
restaurant deals,www.groupon.com/local/restaurants,2,0,"cat: food & drink,top: restaurants",Restaurant Deals | Groupon,,4266,216,1.01,,,
austin zoo,www.groupon.com/biz/austin/austin-zoo,8,1,"austin,cat: events & activities,city: zoo","Austin Zoo - Austin, TX | Groupon","images,video,knowledge_graph",13733,212,1.15,,,
golf deals,www.groupon.com/local/golf,2,0,cat: events & activities,Golf Deals | Groupon,,4208,212,1.36,,,
food deals,www.groupon.com/local/restaurants,1,0,,Restaurant Deals | Groupon,,1425,200,1.67,,,
groupon toledo,www.groupon.com/local/toledo,1,0,brand,Toledo Deals - Best Deals in Toledo | Groupon,news,1400,196,0.08,,,
groupon toledo,www.groupon.com/deals/crossfit-toledo,2,0,brand,Crossfit Toledo Toledo Deal of the Day | Groupon Toledo,news,1400,72,0.08,,,
groupon toledo,www.groupon.com/deals/stanton-optical-toledo,3,,brand,Stanton Optical Toledo Deal of the Day | Groupon Toledo,news,1400,52,0.08,,,
daily deals,www.groupon.com/,11,8,,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",,29100,196,0.8,,,
things to do in dallas,www.groupon.com/local/dallas/things-to-do,12,-4,"cat: events & activities,city: things to do,dallas,top: things to do do",Things To Do In Dallas - Deals in Dallas | Groupon,"images,carousel,knowledge_graph",35066,188,1.24,,,
