Keyword,URL,Position03/14/2014,Trend03/07/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",news,3095833,824588,0.07,,,
restaurants,www.groupon.com/local/restaurants,13,2,"cat: food & drink,top: restaurants",Restaurant Deals | Groupon,images,3754416,16236,0.93,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","video,news",39575,10540,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals in Chicago | Groupon,"video,news",37916,10096,0.12,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",37916,916,0.12,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Chicago Deal of the Day | Groupon Chicago,"video,news",37916,728,0.12,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals in Las Vegas | Groupon,video,22325,5944,0.28,,,
groupon las vegas,www.groupon.com/las-vegas/getaways,2,0,brand,Las Vegas Getaways Deals - Groupon,video,22325,540,0.28,,,
groupon las vegas,www.groupon.com/deals/dig-this-2,3,0,brand,Dig This Las Vegas Deal of the Day | Groupon Las Vegas,video,22325,428,0.28,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",video,20691,5508,0.2,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals in Atlanta | Groupon,video,18177,4840,0.11,,,
groupon atlanta,www.groupon.com/atlanta/getaways,2,0,brand,Atlanta - Groupon,video,18177,440,0.11,,,
