Keyword,URL,Position03/21/2014,Trend03/14/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","video,news",3259166,1002420,0.06,,,
restaurants,www.groupon.com/local/restaurants,8,5,"cat: food & drink,top: restaurants",Restaurant Deals | Groupon,images,3754416,50728,0.93,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",,40427,10768,0.05,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals in Chicago | Groupon,video,37916,10096,0.12,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,video,37916,916,0.12,,,
groupon chicago,www.groupon.com/,3,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",video,37916,728,0.12,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals in Las Vegas | Groupon,video,22325,5944,0.28,,,
groupon las vegas,www.groupon.com/deals/fast-lap-las-vegas-11,2,0,brand,Fast Lap-Las Vegas Las Vegas Deal of the Day | Groupon Las Vegas,video,22325,540,0.28,,,
groupon las vegas,www.groupon.com/deals/dig-this-2,3,0,brand,Dig This Las Vegas Deal of the Day | Groupon Las Vegas,video,22325,428,0.28,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",,20691,5508,0.2,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals in Atlanta | Groupon,video,18177,4840,0.11,,,
groupon atlanta,www.groupon.com/deals/atlanta-rocks-indoor-climbing-gym,2,0,brand,Atlanta Rocks! Atlanta Deal of the Day | Groupon Atlanta,video,18177,440,0.11,,,
groupon atlanta,www.groupon.com/deals/slice-downtown,3,0,brand,Slice Downtown Atlanta Deal of the Day | Groupon Atlanta,video,18177,348,0.11,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,32966,4664,0.17,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,"New York Deals - Best Deals in New York, U.S. | Groupon",,32966,1684,0.17,,,
groupon nyc,www.groupon.com/new-york/getaways,3,0,brand,New York City - Groupon,,32966,1264,0.17,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals in Dallas | Groupon,video,16935,4508,0.12,,,
groupon dallas,www.groupon.com/deals/advanced-lazer-hair-removal,2,0,brand,Clinical Advanced Lazer Hair Removal Dallas Deal of the ... - Groupon,video,16935,408,0.12,,,
groupon dallas,www.groupon.com/deals/the-tower-spa,3,0,brand,The Tower Spa Dallas Deal of the Day | Groupon Dallas,video,16935,324,0.12,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals in Houston | Groupon,video,15269,4064,0.07,,,
groupon houston,www.groupon.com/deals/sambuca-houston,2,0,brand,Sambuca Houston Houston Deal of the Day | Groupon Houston,video,15269,368,0.07,,,
groupon houston,www.groupon.com/deals/houston-beer-fest-3,3,0,brand,Houston Beer Fest Houston Deal of the Day | Groupon Houston,video,15269,292,0.07,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/local/denver/restaurants,2,0,brand,Denver Restaurants - Deals in Denver | Groupon,video,10254,248,0.13,,,
groupon denver,www.groupon.com/local/denver/beauty-and-spas,3,0,brand,Denver Beauty & Spas - Deals in Denver | Groupon,video,10254,196,0.13,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals in Los Angeles | Groupon,video,17419,2464,0.15,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,2,0,brand,"Los Angeles Deal of the Day: Restaurants, Beauty, Health ... - Groupon",video,17419,888,0.15,,,
