Keyword,URL,Position04/11/2014,Trend04/04/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,7,0,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",3754416,69564,0.93,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/reserve/chicago,3,0,brand,Groupon Reserve | Chicago,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",video,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals in Las Vegas | Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,2,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,video,25852,496,0.21,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,,38880,1984,0.07,,,
groupon nyc,www.groupon.com/reserve/new-york,3,0,brand,Groupon Reserve | New York City,,38880,1488,0.07,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,18177,4840,0.11,,,
groupon atlanta,www.groupon.com/deals/gl-atlanta-symphony-orchestra-3,2,0,brand,Atlanta Symphony Orchestra Atlanta Deal of the ... - Groupon,video,18177,440,0.11,,,
groupon atlanta,www.groupon.com/deals/atlanta-rocks-indoor-climbing-gym,3,0,brand,Atlanta Rocks! Atlanta Deal of the Day | Groupon Atlanta,video,18177,348,0.11,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,16935,4508,0.12,,,
groupon dallas,www.groupon.com/deals/segway-nation-9,2,0,brand,Segway Nation Dallas Deal of the Day | Groupon Dallas,video,16935,408,0.12,,,
groupon dallas,www.groupon.com/deals/official-paintball-games-of-texas-3,3,0,brand,Official Paintball Games of Texas Dallas Deal of ... - Groupon,video,16935,324,0.12,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,15269,4064,0.07,,,
groupon houston,www.groupon.com/deals/cosmic-jump-houston-10535-jones-rd-suite-200,2,0,brand,Cosmic Jump Houston Deal of the Day | Groupon Houston,video,15269,368,0.07,,,
groupon houston,www.groupon.com/deals/krav-maga-houston,3,0,brand,Krav Maga Houston Houston Deal of the Day | Groupon ...,video,15269,292,0.07,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/local/colorado,2,0,brand,Colorado Guide and Deals - Groupon,video,10254,248,0.13,,,
groupon denver,www.groupon.com/local,3,0,brand,Groupon: Find Local Deals and Reviews for Restaurants ...,video,10254,196,0.13,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,17419,2464,0.15,,,
groupon los angeles,www.groupon.com/reserve/los-angeles,2,0,brand,Groupon Reserve | Los Angeles,video,17419,888,0.15,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,3,0,brand,Los Angeles Deal of the Day: Restaurants ... - Groupon,video,17419,668,0.15,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,16252,2300,0.08,,,
groupon boston,www.groupon.com/reserve/boston,2,0,brand,Groupon Reserve | Boston,video,16252,828,0.08,,,
groupon boston,www.groupon.com/boston/getaways,3,0,brand,Boston Getaways Deals - Groupon,video,16252,620,0.08,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,15427,2180,0.08,,,
groupon phoenix,www.groupon.com/local/tempe,2,0,brand,Tempe Deals - Best Deals &amp; Coupons in Tempe | Groupon,video,15427,788,0.08,,,
