Keyword,URL,Position02/28/2014,Trend02/21/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","video,news",3095833,824588,0.07,,,
restaurants,www.groupon.com/local/restaurants,9,,"cat: food & drink,top: restaurants",Restaurant Deals | Groupon,"images,news",4414416,52968,0.99,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...","video,news",39575,10540,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals in Chicago | Groupon,video,37916,10096,0.12,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,video,37916,916,0.12,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Chicago Deal of the Day | Groupon Chicago,video,37916,728,0.12,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals in Las Vegas | Groupon,video,22325,5944,0.28,,,
groupon las vegas,www.groupon.com/las-vegas/getaways,2,0,brand,Las Vegas Getaways Deals - Groupon,video,22325,540,0.28,,,
groupon las vegas,www.groupon.com/deals/imperial-health-spa-1,3,0,brand,Imperial Health Spa Las Vegas Deal of the Day | Groupon Las Vegas,video,22325,428,0.28,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping, Beauty ...",,18612,4956,0.16,,,
groupon atlanta,www.groupon.com/atlanta,1,0,brand,Atlanta Deals - Best Deals in Atlanta | Groupon,,18177,4840,0.11,,,
groupon atlanta,www.groupon.com/deals/atl-paintball,2,0,brand,Atlanta Paintball Atlanta Deal of the Day | Groupon Atlanta,,18177,440,0.11,,,
groupon atlanta,www.groupon.com/deals/slice-downtown,3,0,brand,Slice Downtown Atlanta Deal of the Day | Groupon Atlanta,,18177,348,0.11,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City - Groupon,,32966,4664,0.17,,,
groupon nyc,www.groupon.com/new-york,2,0,brand,"New York Deals - Best Deals in New York, U.S. | Groupon",,32966,1684,0.17,,,
groupon nyc,www.groupon.com/new-york/getaways,3,0,brand,New York City - Groupon,,32966,1264,0.17,,,
groupon dallas,www.groupon.com/local/dallas/beauty-and-spas,1,0,brand,Dallas Beauty & Spas - Deals in Dallas | Groupon,video,16935,4508,0.12,,,
groupon dallas,www.groupon.com/local/dallas/things-to-do,2,0,brand,Things To Do In Dallas - Deals in Dallas | Groupon,video,16935,408,0.12,,,
groupon dallas,www.groupon.com/local/dallas/restaurants,3,0,brand,Dallas Restaurants - Deals in Dallas | Groupon,video,16935,324,0.12,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals in Houston | Groupon,video,15269,4064,0.07,,,
groupon houston,www.groupon.com/deals/krav-maga-houston,2,0,brand,Krav Maga Houston Houston Deal of the Day | Groupon Houston,video,15269,368,0.07,,,
groupon houston,www.groupon.com/deals/fred-astaire-dance-studio-houston-9-locations,3,0,brand,Fred Astaire Dance Studios Houston Deal of the Day | Groupon ...,video,15269,292,0.07,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/local/colorado,2,0,brand,"Colorado Deals - Best Deals in Colorado, U.S. | Groupon",video,10254,248,0.13,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals in Los Angeles | Groupon,video,17419,2464,0.15,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,2,0,brand,"Los Angeles Deal of the Day: Restaurants, Beauty, Health ... - Groupon",video,17419,888,0.15,,,
groupon los angeles,www.groupon.com/los-angeles/area/san-fernando-valley,3,0,brand,"Los Angeles Deal of the Day: Restaurants, Beauty, Health ... - Groupon",video,17419,668,0.15,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals in Boston | Groupon,"video,news",16252,2300,0.08,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",16252,828,0.08,,,
groupon boston,www.groupon.com/deals/bj-s-wholesale-club-3-boston,3,0,brand,BJ's Wholesale Club Boston Deal of the Day | Groupon Boston,"video,news",16252,620,0.08,,,
groupon phoenix,www.groupon.com/phoenix,1,0,brand,Phoenix Deals - Best Deals in Phoenix | Groupon,video,15427,2180,0.08,,,
groupon phoenix,www.groupon.com/deals/toni-guy-az-1,2,0,brand,TONI&GUY Phoenix Deal of the Day | Groupon Phoenix,video,15427,788,0.08,,,
groupon phoenix,www.groupon.com/deals/canyon-falls-spa-salon-scottsdale,3,0,brand,Canyon Falls Spa & Salon Phoenix Deal of the Day | Groupon Phoenix,video,15427,588,0.08,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals in Orlando | Groupon,,14716,2080,0.1,,,
groupon orlando,www.groupon.com/deals/kissimmee-go-karts-orlando-2,2,0,brand,Kissimmee Go-Karts Orlando Deal of the Day | Groupon Orlando,,14716,752,0.1,,,
groupon orlando,www.groupon.com/deals/pirates-dinner-adventure-orlando,3,0,brand,Pirates Dinner Adventure Orlando Deal of the Day | Groupon Orlando,,14716,564,0.1,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals in Seattle | Groupon,,12325,1744,0.11,,,
groupon seattle,www.groupon.com/seattle/area/tacoma,2,0,brand,"Seattle Deal of the Day: Restaurants, Beauty, Health ... - Groupon",,12325,628,0.11,,,
groupon seattle,www.groupon.com/seattle/getaways,3,0,brand,Seattle Getaways Deals - Groupon,,12325,472,0.11,,,
groupon san francisco,www.groupon.com/local/san-francisco,1,0,brand,San Francisco Deals - Best Deals in San Francisco | Groupon,video,9291,1312,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,video,9291,472,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/area/east-bay,3,0,brand,"San Francisco Deal of the Day: Restaurants, Beauty ... - Groupon",video,9291,356,0.11,,,
