Keyword,URL,Position06/27/2014,Trend06/20/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,3259166,868096,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Lincoln Park - Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/biz/las-vegas/national-atomic-testing-museum,2,0,brand,"Atomic Testing Museum - Las Vegas, NV | Groupon",video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/biz/las-vegas/kahunaville-island-restaurant-party-bar,3,0,brand,"Kahunaville Island Restaurant - Las Vegas, NV | Groupon",video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/atlanta-taste-of-the-trucks,2,0,brand,"Atlanta Taste of the Trucks - Atlanta, GA | Groupon",,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/skin-matters-11,3,0,brand,Skin Matters Atlanta Deal of the Day | Groupon Atlanta,,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,"video,news",38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,"video,news",38880,1984,0.07,,,
groupon nyc,www.groupon.com/new-york/getaways,3,0,brand,New York City - Groupon,"video,news",38880,1488,0.07,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
