Keyword,URL,Position05/02/2014,Trend04/25/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,9,4,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",3754416,39012,0.93,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/reserve/chicago,3,0,brand,Groupon Reserve | Chicago,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,2,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/toby-keith-s-i-love-this-bar-grill-at-harrah-s-las-vegas,3,0,brand,Toby Keith's I Love This Bar &amp; Grill at Harrah's Las Vegas ...,video,25852,496,0.21,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,6352,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,,38880,2292,0.07,,,
groupon nyc,www.groupon.com/reserve/new-york,3,0,brand,Groupon Reserve | New York City,,38880,1720,0.07,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/deals/glamour-shots-minneapolis-15-atlanta,2,0,brand,Glamour Shots Atlanta Deal of the Day | Groupon Atlanta,,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/taverna-plaka-4,3,0,brand,Taverna Plaka Atlanta Deal of the Day | Groupon Atlanta,,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/deals/advanced-lazer-hair-removal,2,0,brand,Clinical Advanced Lazer Hair Removal Dallas ... - Groupon,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/deals/bolsa,3,0,brand,Bolsa Dallas Deal of the Day | Groupon Dallas,video,20112,384,0.09,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,19600,5220,0.07,,,
groupon houston,www.groupon.com/deals/aerial-yoga-houston,2,0,brand,Aerial Yoga Houston Houston Deal of the Day | Groupon ...,video,19600,472,0.07,,,
groupon houston,www.groupon.com/deals/cypress-trails-equestrian-center-4,3,0,brand,Cypress Trails Equestrian Center Houston Deal ... - Groupon,video,19600,376,0.07,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,20720,2932,0.1,,,
groupon los angeles,www.groupon.com/reserve/los-angeles,2,0,brand,Groupon Reserve | Los Angeles,video,20720,1056,0.1,,,
groupon los angeles,www.groupon.com/deals/rosalinds-ethiopian-cuisine-1,3,0,brand,Rosalind's Ethiopian Cuisine Los Angeles Deal ... - Groupon,video,20720,792,0.1,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,20045,2836,0.09,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,Boston Getaways Deals - Groupon,video,20045,1024,0.09,,,
groupon boston,www.groupon.com/local/cambridge-ma,3,0,brand,Cambridge Deals - Best Deals &amp; Coupons in ... - Groupon,video,20045,768,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/reserve/denver,2,0,brand,Groupon Reserve | Denver,video,10254,248,0.13,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/local/scottsdale,2,0,brand,Scottsdale Deals - Best Deals &amp; Coupons in ... - Groupon,video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/deals/mac-alpine-s-soda-fountain,3,0,brand,MacAlpine's Soda Fountain Phoenix Deal of the ... - Groupon,video,18879,724,0.1,,,
