Keyword,URL,Position06/20/2014,Trend06/13/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,7,0,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,"images,news",1689416,27108,1.29,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,video,45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,video,45750,1104,0.18,,,
groupon chicago,www.groupon.com/deals/chicago-history-museum-6,3,0,brand,Chicago History Museum Lincoln Park - Groupon,video,45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/simplicity-las-vegas-14-las-vegas,2,0,brand,Simplicity Laser Hair Removal Las Vegas Deal of ... - Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/hoover-dam-tour-company-3,3,0,brand,Hoover Dam Tour Company Las Vegas Deal of ... - Groupon,video,25852,496,0.21,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,6352,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,,38880,2292,0.07,,,
groupon nyc,www.groupon.com/local/manhattan,3,0,brand,Manhattan Deals - Best Deals &amp; Coupons in ... - Groupon,,38880,1720,0.07,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/deals/atlanta-taste-of-the-trucks,2,0,brand,Atlanta Taste of the Trucks Atlanta Deal of the ... - Groupon,,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/peachy-airport-parking-17,3,0,brand,Peachy Airport Parking Atlanta Deal of the Day | Groupon ...,,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,"video,news",20316,5408,0.05,,,
groupon houston,www.groupon.com/deals/greater-houston-archery,2,0,brand,Greater Houston Archery Houston Deal of the ... - Groupon,"video,news",20316,492,0.05,,,
groupon houston,www.groupon.com/deals/houston-beer-fest-3,3,0,brand,Houston Beer Fest Houston Deal of the Day | Groupon ...,"video,news",20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/deals/salsa-dallas-com,2,0,brand,SalsaDallas.com Dallas Deal of the Day | Groupon Dallas,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/deals/texas-archery-academy-6,3,0,brand,Texas Archery Academy Dallas Deal of the Day | Groupon ...,video,20112,384,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,12837,3416,0.1,,,
groupon denver,www.groupon.com/local/colorado,2,0,brand,Colorado Deals - Best Deals &amp; Coupons in ... - Groupon,video,12837,308,0.1,,,
groupon denver,www.groupon.com/denver/getaways,3,0,brand,Denver - Groupon,video,12837,244,0.1,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,21549,3048,0.07,,,
groupon los angeles,www.groupon.com/los-angeles/area/los-angeles,2,0,brand,Los Angeles Deal of the Day: Restaurants ... - Groupon,video,21549,1100,0.07,,,
groupon los angeles,www.groupon.com/biz/los-angeles/guidos-restaurant-la,3,0,brand,"Guido's Restaurant - Los Angeles, CA | Groupon",video,21549,824,0.07,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,20045,2836,0.09,,,
groupon boston,www.groupon.com/deals/boating-in-boston-7,2,0,brand,Boating in Boston Boston Deal of the Day | Groupon Boston,video,20045,1024,0.09,,,
groupon boston,www.groupon.com/boston/getaways,3,0,brand,Boston Getaways Deals - Groupon,video,20045,768,0.09,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/deals/simplicity-las-vegas-14-phoenix,2,0,brand,Simplicity Laser Hair Removal Phoenix Deal of ... - Groupon,video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/deals/honey-bears-bbq-144,3,0,brand,Honey Bear's BBQ Phoenix Deal of the Day | Groupon ...,video,18879,724,0.1,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals &amp; Coupons in Orlando | Groupon,,16995,2404,0.13,,,
groupon orlando,www.groupon.com/deals/seaworld-orlando-and-aquatica-seaworld-s-waterpark,2,0,brand,SeaWorld Orlando Orlando Deal of the Day | Groupon Orlando,,16995,868,0.13,,,
groupon orlando,www.groupon.com/deals/orlando-fit-body-bootcamp-3,3,0,brand,Orlando Fit Body Bootcamp Boot Camp - Groupon,,16995,648,0.13,,,
atlanta,www.groupon.com/local/atlanta,7,62,,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,"images,video,news,knowledge_graph",105458,1952,1.72,,,
