Keyword,URL,Position05/09/2014,Trend05/02/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",3259166,868096,0.06,,,
restaurants,www.groupon.com/local/restaurants,9,0,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,images,3754416,45048,0.93,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/getaways,2,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/,3,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",news,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/deals/burger-brasserie,2,0,brand,Burger Brasserie Las Vegas Deal of the Day | Groupon Las ...,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/las-vegas-club-crawl-5,3,0,brand,Las Vegas Club Crawl Deal of the Day | Groupon,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,video,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/deals/peachy-airport-parking-17,2,0,brand,Peachy Airport Parking Atlanta Deal of the Day | Groupon ...,video,21683,524,0.13,,,
groupon atlanta,www.groupon.com/deals/red-brick-brewery-3,3,0,brand,Red Brick Brewing Company Atlanta Deal of the ... - Groupon,video,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Guide and Deals - Groupon,,38880,1984,0.07,,,
groupon nyc,www.groupon.com/reserve/new-york,3,0,brand,Groupon Reserve | New York City,,38880,1488,0.07,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/dallas/getaways,2,0,brand,Dallas Getaways Deals - Groupon,video,20112,484,0.09,,,
groupon dallas,www.groupon.com/deals/fort-worth-laser-center-6,3,0,brand,DFW Laser Lipo Dallas Deal of the Day | Groupon Dallas,video,20112,384,0.09,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,19600,5220,0.07,,,
groupon houston,www.groupon.com/deals/aerial-yoga-houston,2,0,brand,Aerial Yoga Houston Houston Deal of the Day | Groupon ...,video,19600,472,0.07,,,
groupon houston,www.groupon.com/deals/mark-s-american-cuisine-2,3,0,brand,Mark's American Cuisine Houston Deal of the ... - Groupon,video,19600,376,0.07,,,
groupon los angeles,www.groupon.com/local/los-angeles,1,0,brand,Los Angeles Deals - Best Deals &amp; Coupons in ... - Groupon,video,20720,2932,0.1,,,
groupon los angeles,www.groupon.com/reserve/los-angeles,2,0,brand,Groupon Reserve | Los Angeles,video,20720,1056,0.1,,,
groupon los angeles,www.groupon.com/los-angeles/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,video,20720,792,0.1,,,
groupon boston,www.groupon.com/local/boston,1,0,brand,Boston Deals - Best Deals &amp; Coupons in Boston | Groupon,video,20045,2836,0.09,,,
groupon boston,www.groupon.com/boston/getaways,2,0,brand,Boston Getaways Deals - Groupon,video,20045,1024,0.09,,,
groupon boston,www.groupon.com/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,video,20045,768,0.09,,,
groupon denver,www.groupon.com/local/denver,1,0,brand,Denver Deals - Best Deals &amp; Coupons in Denver | Groupon,video,10254,2728,0.13,,,
groupon denver,www.groupon.com/reserve/denver,2,0,brand,Groupon Reserve | Denver,video,10254,248,0.13,,,
groupon denver,www.groupon.com/biz/denver/denver-botanic-gardens,3,,brand,"Denver Botanic Gardens - Denver, CO | Groupon",video,10254,196,0.13,,,
groupon phoenix,www.groupon.com/local/phoenix,1,0,brand,Phoenix Deals - Best Deals &amp; Coupons in Phoenix | Groupon,video,18879,2672,0.1,,,
groupon phoenix,www.groupon.com/deals/skydive-phoenix,2,0,brand,Skydive Phoenix Phoenix Deal of the Day | Groupon Phoenix,video,18879,964,0.1,,,
groupon phoenix,www.groupon.com/deals/white-smile-central-11,3,0,brand,White Smile Central Downtown Phoenix - Groupon,video,18879,724,0.1,,,
groupon orlando,www.groupon.com/local/orlando,1,0,brand,Orlando Deals - Best Deals &amp; Coupons in Orlando | Groupon,video,16995,2404,0.13,,,
groupon orlando,www.groupon.com/deals/seaworld-orlando-and-aquatica-seaworld-s-waterpark,2,0,brand,SeaWorld Orlando Orlando Deal of the Day | Groupon Orlando,video,16995,868,0.13,,,
groupon orlando,www.groupon.com/deals/orlando-fit-body-bootcamp-3,3,0,brand,Orlando Fit Body Bootcamp Orlando Deal of the ... - Groupon,video,16995,648,0.13,,,
groupon seattle,www.groupon.com/local/seattle,1,0,brand,Seattle Deals - Best Deals &amp; Coupons in Seattle | Groupon,video,12325,1744,0.11,,,
groupon seattle,www.groupon.com/local,2,0,brand,Groupon: Find Local Deals and Reviews for Restaurants ...,video,12325,628,0.11,,,
groupon seattle,www.groupon.com/seattle/area/tacoma,3,0,brand,"Seattle Deal of the Day: Restaurants, Beauty ... - Groupon",video,12325,472,0.11,,,
groupon austin,www.groupon.com/local/austin,1,0,brand,Austin Deals - Best Deals &amp; Coupons in Austin | Groupon,video,10200,1440,0.09,,,
groupon austin,www.groupon.com/austin/getaways,2,0,brand,Austin Getaways Deals - Groupon,video,10200,520,0.09,,,
groupon austin,www.groupon.com/deals/texas-parkour-austin,3,0,brand,Texas Parkour Austin Deal of the Day | Groupon Austin,video,10200,388,0.09,,,
groupon san francisco,www.groupon.com/local/san-francisco,1,0,brand,San Francisco Deals - Best Deals &amp; Coupons in ... - Groupon,video,9291,1312,0.11,,,
groupon san francisco,www.groupon.com/reserve/san-francisco,2,0,brand,Groupon Reserve | San Francisco,video,9291,472,0.11,,,
groupon san francisco,www.groupon.com/san-francisco/area/east-bay,3,0,brand,San Francisco Deal of the Day: Restaurants ... - Groupon,video,9291,356,0.11,,,
things to do in orlando,www.groupon.com/local/orlando/things-to-do,4,1,"cat: events & activities,city: things to do,orlando,top: things to do do",Things To Do In Orlando - Deals in Orlando | Groupon,"images,video,carousel,knowledge_graph",34816,1024,0.61,,,
things to do in atlanta,www.groupon.com/local/atlanta/things-to-do,5,-1,"atlanta,cat: events & activities,city: things to do,top: things to do do",Things To Do In Atlanta - Deals in Atlanta | Groupon,"video,carousel,knowledge_graph",39783,1000,1.15,,,
groupon philadelphia,www.groupon.com/local/philadelphia,1,0,brand,Philadelphia Deals - Best Deals &amp; Coupons in ... - Groupon,video,6808,960,0.1,,,
groupon philadelphia,www.groupon.com/reserve/philadelphia,2,,brand,Groupon Reserve | Philadelphia,video,6808,348,0.1,,,
groupon philadelphia,www.groupon.com/deals/philadelphia-sightseeing-tours-8,3,,brand,Philadelphia Sightseeing Tours Center City East - Groupon,video,6808,260,0.1,,,
things to do in san diego,www.groupon.com/local/san-diego/things-to-do,7,1,"cat: events & activities,city: things to do,san diego,top: things to do do",Things To Do In San Diego - Deals in San Diego | Groupon,"images,video,carousel,knowledge_graph",56091,900,0.73,,,
deals,www.groupon.com/,9,,,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","video,news,knowledge_graph",80000,828,0.91,,,
